City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
shiyan,CN,32.65,110.78,40.59,79,100,3.02
noumea,NC,-22.28,166.46,79.59,65,75,11.41
niles,US,42.02,-87.8,56.8,87,90,11.41
rize,TR,40.9,40.89,32.04,49,20,5.21
kloulklubed,PW,7.04,134.26,78.8,88,75,5.82
esperance,AU,-33.87,121.9,53.6,93,82,8.05
muncar,ID,-8.43,114.33,80.67,80,90,1.32
somvarpet,IN,12.6,75.87,65.41,72,10,1.97
prado,BR,-17.34,-39.22,76.95,86,18,11.23
morgan city,US,29.7,-91.21,83.03,74,20,14.99
yei,SS,4.09,30.68,71.94,60,93,7
sokoto,NG,13.06,5.24,85.24,16,24,9.04
mancora,PE,-4.11,-81.05,62.6,100,4,10.29
la libertad,EC,-2.23,-80.9,84.2,70,5,6.93
jalu,LY,29.03,21.55,65.16,24,16,9.13
manono,CD,-7.3,27.42,68.61,80,99,2.08
frutigen,CH,46.59,7.65,45.1,75,75,1.12
monywa,MM,22.12,95.13,77.49,46,0,4.74
neringa,LT,55.37,21.06,36.81,80,16,4.47
zyryanka,RU,65.75,150.85,26.65,95,100,9.42
donauworth,DE,48.7,10.8,42.4,80,33,3.36
pyu,MM,18.48,96.43,69.15,91,58,3.69
fukue,JP,32.69,128.84,55.08,74,40,27.85
gra liyia,GR,35.02,25.68,55.22,76,40,3.36
guliston,UZ,40.49,68.78,51.73,48,0,4.38
sabang,ID,5.89,95.32,82.54,76,69,7.38
port blair,IN,11.67,92.75,79.34,72,23,3.31
katobu,ID,-4.94,122.53,82.24,79,100,1.97
chara,RU,56.91,118.26,18.54,81,42,1.72
debre tabor,ET,11.85,38.02,55.96,13,35,4.25
barcelos,PT,41.54,-8.62,50.68,81,62,4.5
khurai,IN,24.04,78.33,71.31,27,11,8.63
inverell,AU,-29.78,151.12,68.77,75,0,3.06
najran,SA,17.49,44.13,80.6,24,21,4.7
dickinson,US,29.46,-95.05,72.23,78,90,16.11
bonthe,SL,7.53,-12.51,80.51,83,28,5.61
ewa beach,US,21.32,-158.01,77.32,54,75,18.34
tilichiki,RU,60.47,166.1,28.72,97,100,37.56
belaya gora,RU,68.53,146.42,5.29,92,100,5.32
safaga,EG,26.73,33.94,68,32,0,17.22
zambezi,ZM,-13.54,23.1,65.61,70,99,5.55
dubbo,AU,-32.25,148.62,66.2,82,26,12.75
lompoc,US,34.64,-120.46,61.05,51,1,14.99
batticaloa,LK,7.71,81.69,77.79,76,56,0.36
norman wells,CA,65.28,-126.83,-4,44,5,0.94
kasane,BW,-17.82,25.15,65.26,68,42,3.76
abaza,RU,52.66,90.09,24.53,90,95,3.18
trincomalee,LK,8.57,81.23,75.34,82,63,3.89
bonavista,CA,48.65,-53.11,31.6,98,100,6.35
slave lake,CA,55.28,-114.77,12.2,78,90,8.05
sawtell,AU,-30.38,153.1,67.46,94,90,5.82
durusu,TR,41.31,28.68,47.88,93,75,18.34
narsaq,GL,60.92,-46.05,42.8,89,100,4.7
clinton,US,42.59,-82.92,48.85,100,90,3.36
breytovo,RU,58.3,37.86,37.76,81,82,3.09
gazanjyk,TM,39.24,55.52,53.8,38,37,8.9
anchorage,US,61.22,-149.9,26.37,45,1,9.17
panzhihua,CN,26.59,101.71,63.5,40,1,1.59
kysyl-syr,RU,63.9,122.76,2.28,92,80,3.94
marabba,SD,12.35,32.18,82.62,13,51,14.45
isangel,VU,-19.55,169.27,79.74,79,98,21.56
baker city,US,44.77,-117.83,50.79,35,90,5.82
barrhead,GB,55.8,-4.39,36.97,59,40,6.93
guilin,CN,25.28,110.29,48.2,93,90,4.47
santa maria,BR,-29.68,-53.81,78.8,65,94,2.24
elat,IL,29.56,34.95,64.4,59,0,11.41
ambilobe,MG,-13.2,49.05,75.11,89,92,1.72
mikun,RU,62.35,50.08,35.2,87,67,9.19
galan,CO,6.64,-73.29,77,73,40,2.24
batemans bay,AU,-35.72,150.18,67.57,91,11,8.84
aguascalientes,MX,21.88,-102.3,86,10,5,16.11
markova,UA,48.68,24.41,36.64,65,0,3.47
bubaque,GW,11.28,-15.83,78.62,71,84,15.64
stykkisholmur,IS,65.08,-22.73,38.64,89,88,13.2
omsukchan,RU,62.53,155.8,21.83,89,100,10.54
leh,IN,34.17,77.58,9.66,33,42,6.15
yertarskiy,RU,56.79,64.3,34.83,90,94,9.1
cockburn town,TC,21.46,-71.14,80.6,74,40,13.87
vanavara,RU,60.34,102.28,22.73,94,100,11.1
pondicherry,IN,11.93,79.83,77,73,34,5.14
vanino,RU,49.09,140.25,31.35,83,0,13.02
diffa,NE,13.32,12.61,84.25,13,0,8.81
khani,GE,41.96,42.96,60.8,41,75,12.75
nicoya,CR,10.15,-85.45,84.33,49,35,25.28
shubarkuduk,KZ,49.14,56.49,37.72,70,33,11.56
imbituba,BR,-28.24,-48.67,77,69,20,10.29
komsomolskiy,UZ,40.43,71.72,50,66,10,6.93
red bluff,US,40.18,-122.24,50.94,66,90,11.41
kilindoni,TZ,-7.91,39.67,83.25,69,10,1.77
athabasca,CA,54.72,-113.29,15.91,89,100,8.08
vaitape,PF,-16.52,-151.75,84.22,67,52,8.48
ulladulla,AU,-35.35,150.47,65.08,100,40,1.12
filadelfia,US,39.95,-75.16,47.44,93,90,9.17
sulangan,PH,11.14,123.72,80.62,72,10,7.2
fenoarivo,MG,-18.93,47.44,66.2,93,75,1.12
kruisfontein,ZA,-34,24.73,57.99,82,4,11.07
